week,n_articles,finbert_linear,finbert_exp_hl7,vader_linear,vader_exp_hl7
2021-01-15,4,0.3998031709343195,0.44079353080750916,0.3047,0.26752397083272156
2021-01-22,15,0.1263460025191307,0.13318159099669877,0.04187333333333333,0.02930195622381281
2021-01-29,18,0.32436485091845196,0.30166198286517665,0.06828333333333333,0.07386300174763388
2021-02-05,24,0.3175196578570952,0.3130896353875003,0.21270833333333336,0.21404492372010364
2021-02-12,1,0.12208253145217896,0.12208253145217894,0.1779,0.1779
2021-02-26,1,0.09384454041719437,0.09384454041719437,0.0,0.0
2021-03-05,12,-0.01642635480190317,-0.015418998941641516,0.09490000000000003,0.09025552373242411
2021-03-12,8,0.21639277809299529,0.20277114648061798,0.18580000000000002,0.2171176750955364
2021-03-19,6,0.16125851248701414,0.22565694424326557,0.3594833333333333,0.3667299418053841
2021-03-26,8,-0.06624817568808794,-0.08286516342713691,0.044725,0.035646400709978356
2021-04-02,14,0.3118627658113837,0.31365386372917103,0.07775714285714286,0.07877165676101491
2021-04-09,16,0.18149679026100785,0.13931545738199536,0.065025,0.06782570543696861
2021-04-16,3,0.15229394907752672,0.1278338424149051,0.0086,0.008148477775471247
2021-04-30,12,0.1606826181523502,0.17485056305153243,0.08275833333333332,0.08161396261419693
2021-05-07,22,0.2378316012803804,0.2327291510634512,0.1416590909090909,0.13700634773666878
2021-05-14,6,-0.02404840166370074,-0.05742405790327609,-0.10388333333333333,-0.10452775479192801
2021-05-21,1,0.033190712332725525,0.033190712332725525,0.0,0.0
2021-05-28,5,0.12167173586785793,0.10810721434118829,0.24500000000000002,0.22272446376822239
2021-06-04,12,0.24846387887373567,0.2481700429210909,-0.08879166666666666,-0.08154721731876068
2021-06-11,4,0.1626230301335454,0.1650995166385078,-0.0258,-0.02642276025419981
2021-06-18,6,0.13507887721061707,0.11925590712398122,0.19723333333333334,0.20846713692313482
2021-06-25,7,0.05361412412353924,0.04728717825289235,-0.17682857142857142,-0.19736286200136327
2021-07-02,16,0.04905116884037852,0.04504839419559634,0.05263124999999999,0.06554202028342257
